ID,Address,Status,Listing Price,Square Ft,Year Built,Beds,Baths,Days on Site,Latitude,Longitude,URL,House Image,Google Map Image
17,116 Country Club Drive,Closed,239900,2104,1973,4,3,131,39.51631,-84.76596,https://www.xome.com/homes-for-sale/116-Country-Club-Drive-Oxford-OH-45056-387535444,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/addl_picts/0/0/1788547-2.jpg?cd=63842515260,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3077.919717582879!2d-84.76858602562169!3d39.516301609952265!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d490709b85b%3A0x927af430293a3202!2s116%20Country%20Club%20Dr%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712857276754!5m2!1sen!2sus
18,1218 Tollgate Drive,Closed,249000,1722,1968,3,2,138,39.50702,-84.76279,https://www.xome.com/homes-for-sale/1218-Tollgate-Drive-Oxford-OH-45056-387537856,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1787942.jpg?cd=63842383980,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.3290606602613!2d-84.7653438256223!3d39.50706231050449!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d3a75321ef1%3A0xdae4bd0152cf413b!2s1218%20Tollgate%20Dr%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712857333333!5m2!1sen!2sus
19,102 Stone Creek Drive,Pending,625000,3976,1995,4,5,139,39.51301,-84.76824,https://www.xome.com/homes-for-sale/102-Stone-Creek-Drive-Oxford-OH-45056-385588434,https://ap.rdcpix.com/8215b0289cdada11f97078e624cf5c79l-m2361770142od-w1024_h768_x2.webp?w=1920&q=75,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.068205139741!2d-84.768316!3d39.5129503!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d35e31e6e35%3A0x7f4fa5fde3d34848!2s102%20Stone%20Creek%20Dr%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712857466239!5m2!1sen!2sus
20,3856 Kehr Road,Active,550000,1519,1993,3,2,142,39.48486,-84.74616,https://www.xome.com/homes-for-sale/3856-Kehr-Road-Oxford-OH-45056-385536851,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1787608.jpg?cd=63844134660,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3079.3138088822893!2d-84.74731482562372!3d39.48482811183278!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403ce457a3478d%3A0xe73f1b1d46108e44!2s3856%20Kehr%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712857691468!5m2!1sen!2sus
21,317 W Chestnut Street,Closed,265000,1430,1956,3,3,153,39.5006,-84.74252,https://www.xome.com/homes-for-sale/Chestnut-Street-Oxford-OH-45056-386639919,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1786274.jpg?cd=63841829760,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6157.248788644324!2d-84.7486335!3d39.5003952!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d19a263d7b9%3A0xf2e930239fca43ba!2s317%20W%20Chestnut%20St%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712857995971!5m2!1sen!2sus
22,6550 Brookville Road,Closed,315000,2269,2005,4,3,156,39.50054,-84.75963,https://www.xome.com/homes-for-sale/Brookville-Road-Oxford-OH-45056-387532827,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1786182.jpg?cd=63842542620,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.6587701080166!2d-84.77237962562278!3d39.49961911094923!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d2c4206051f%3A0x7c32e44274d7d493!2s6550%20Brookville%20Rd%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712858235991!5m2!1sen!2sus
23,10 Heather Ridge Court,Closed,369500,3293,1992,3,3,180,39.50071,-84.76648,https://www.xome.com/homes-for-sale/Heather-Ridge-Court-Oxford-OH-45056-387538893,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1783596.jpg?cd=63842534040,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.6129969693447!2d-84.76936142562273!3d39.500652510887406!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d2ef5251b37%3A0x6e18fe058f2bb12f!2s10%20Heather%20Ridge%20Ct%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712858320196!5m2!1sen!2sus
24,6043 Vereker Drive,Closed,234900,1406,1987,3,2,181,39.50887,-84.75296,https://www.xome.com/homes-for-sale/Vereker-Drive-Oxford-OH-45056-387538638,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1783427.jpg?cd=63842492880,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6156.517989430133!2d-84.7550183!3d39.508643899999996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d3e62c43611%3A0x6b63bb06f18f21c6!2s6043%20Vereker%20Dr%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712858560393!5m2!1sen!2sus
25,6328 Main Street,Closed,39000,1200,1930,3,1,181,39.48829,-84.65376,https://www.xome.com/homes-for-sale/Main-Street-Reily-Twp-OH-45056-387531092,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1783529.jpg?cd=63833293260,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3081.566294034536!2d-84.76753622562713!3d39.43393081487121!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403b48fa25c945%3A0x90c5fad4c87ab7fb!2s6328%20Main%20St%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712867178793!5m2!1sen!2sus
26,735 High Meadow Lane,Closed,390000,2558,1991,3,3,184,39.50073,-84.76517,https://www.xome.com/homes-for-sale/735-High-Meadow-Lane-Oxford-OH-45056-387531373,https://xomesearch.propertiescdn.com/ListingImages/ohcincy/images/0/0/1782604.jpg?cd=63835846860,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3078.6072387137647!2d-84.7677707256227!3d39.50078251087969!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x88403d2faa21412f%3A0x3046f1af608ddb29!2s735%20High%20Meadow%20Ln%2C%20Oxford%2C%20OH%2045056!5e0!3m2!1sen!2sus!4v1712867422674!5m2!1sen!2sus
